GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jacoco-Maven-Example,com.test.Jacoco_Maven_Example,PalindromeExample,91,172,2,6,0,9,5,6,3,4
Jacoco-Maven-Example,com.test.Jacoco_Maven_Example,App,83,0,2,0,3,0,8,0,7,0
